TL,Word-TL,IR,NL,Source
"G [0,3]( not muC and  not muD) and F [1,2](muA and F [0,1]muB)","Always [0,3]( not muC and not muD) and Finally [1,2](muA and Finally [0,1]muB)","{'and': {'left_node': {'always_bounded': {'child_node': {'and': {'left_node': {'not': {'child_node': 'proposition'}}, 'right_node': {'not': {'child_node': 'proposition'}}}}, 'bound': [0.0, 3.0]}}, 'right_node': {'eventually_bounded': {'child_node': {'and': {'left_node': 'proposition', 'right_node': {'eventually_bounded': {'child_node': 'proposition', 'bound': [0.0, 1.0]}}}}, 'bound': [1.0, 2.0]}}}}",Consider a scenario in which a robot operates in a hospital environment. The robot needs to perform two time-critical sequential delivery tasks in regions A and B while avoiding areas C and D in which potentially humans operate.,https://arxiv.org/pdf/2104.01503.pdf
"G [0,3]( not muC and  not muD) and F [1,2](muA and F [0,1]muB)","Always [0,3]( not muC and not muD) and Finally [1,2](muA and Finally [0,1]muB)","{'and': {'left_node': {'always_bounded': {'child_node': {'and': {'left_node': {'not': {'child_node': 'proposition'}}, 'right_node': {'not': {'child_node': 'proposition'}}}}, 'bound': [0.0, 3.0]}}, 'right_node': {'eventually_bounded': {'child_node': {'and': {'left_node': 'proposition', 'right_node': {'eventually_bounded': {'child_node': 'proposition', 'bound': [0.0, 1.0]}}}}, 'bound': [1.0, 2.0]}}}}","For the entire duration from time 0 to time 3, the robot should avoid regions C and D. Additionally, between time 1 and time 2, the robot should be in region A and then, within the next time unit, it should move to region B.",https://arxiv.org/pdf/2104.01503.pdf
"G [0.0, 2.2e11](((angle >= 0.2) or (angle  <=  -0.2)) implies (speed  <=  22.01))","Always [0.0, 2.2e11](((angle >= 0.2) or (angle <= -0.2)) implies (speed <= 22.01))","{'always_bounded': {'child_node': {'implies': {'left_node': {'or': {'left_node': {'predicate': {'left_node': 'angle', 'right_node': 0.2, 'type': '>='}}, 'right_node': {'predicate': {'left_node': 'angle', 'right_node': 0.2, 'type': '<='}}}}, 'right_node': {'predicate': {'left_node': 'speed', 'right_node': 22.01, 'type': '<='}}}}, 'bound': [0.0, 220000000000.0]}}","The speed of the car must be below some upper bound a ∈ [15, 25] if the angle is larger than 0.2 or below -0.2. Intuitively, this property captures required slowing down of the car when making a significant turn.",https://escholarship.org/content/qt1sv1p5pr/qt1sv1p5pr.pdf?t=qt1g94
"G [0.0, 2.2e11](((angle >= 0.2) or (angle  <=  -0.2)) implies (speed  <=  22.01))","Always [0.0, 2.2e11](((angle >= 0.2) or (angle <= -0.2)) implies (speed <= 22.01))","{'always_bounded': {'child_node': {'implies': {'left_node': {'or': {'left_node': {'predicate': {'left_node': 'angle', 'right_node': 0.2, 'type': '>='}}, 'right_node': {'predicate': {'left_node': 'angle', 'right_node': 0.2, 'type': '<='}}}}, 'right_node': {'predicate': {'left_node': 'speed', 'right_node': 22.01, 'type': '<='}}}}, 'bound': [0.0, 220000000000.0]}}","For the entire duration from time 0 to 2.2e11, if the angle is either greater than or equal to 0.2 or less than or equal to -0.2, then the speed should be less than or equal to 22.01. This captures the behavior of slowing down the car during significant turns.",https://escholarship.org/content/qt1sv1p5pr/qt1sv1p5pr.pdf?t=qt1g94
"G [0.0, 2.2e11](((torque >= 1.6) or (torque  <=  -1.6)) implies (speed  <=  23.64))","Always [0.0, 2.2e11](((torque >= 1.6) or (torque <= -1.6)) implies (speed <= 23.64))","{'always_bounded': {'child_node': {'implies': {'left_node': {'or': {'left_node': {'predicate': {'left_node': 'torque', 'right_node': 1.6, 'type': '>='}}, 'right_node': {'predicate': {'left_node': 'torque', 'right_node': 1.6, 'type': '<='}}}}, 'right_node': {'predicate': {'left_node': 'speed', 'right_node': 23.64, 'type': '<='}}}}, 'bound': [0.0, 220000000000.0]}}","Similar to the property above, the speed of the car must be low while applying a large torque (say, more than 1.6). Usually, torque is applied to turn along with brake when driving safely to avoid slipping.",https://escholarship.org/content/qt1sv1p5pr/qt1sv1p5pr.pdf?t=qt1g94
"G [0.0, 2.2e11](((torque >= 1.6) or (torque  <=  -1.6)) implies (speed  <=  23.64))","Always [0.0, 2.2e11](((torque >= 1.6) or (torque <= -1.6)) implies (speed <= 23.64))","{'always_bounded': {'child_node': {'implies': {'left_node': {'or': {'left_node': {'predicate': {'left_node': 'torque', 'right_node': 1.6, 'type': '>='}}, 'right_node': {'predicate': {'left_node': 'torque', 'right_node': 1.6, 'type': '<='}}}}, 'right_node': {'predicate': {'left_node': 'speed', 'right_node': 23.64, 'type': '<='}}}}, 'bound': [0.0, 220000000000.0]}}","For the entire duration from time 0 to 2.2e11, if the torque is either greater than or equal to 1.6 or less than or equal to -1.6, then the speed should be less than or equal to 23.64. This captures the behavior of slowing down the car when applying a large torque.",https://escholarship.org/content/qt1sv1p5pr/qt1sv1p5pr.pdf?t=qt1g94
"G [0.0, 2.2e11]((angle >= 0.06) implies (torque >= -1.06))","Always [0.0, 2.2e11]((angle >= 0.06) implies (torque >= -1.06))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'angle', 'right_node': 0.06, 'type': '>='}}, 'right_node': {'predicate': {'left_node': 'torque', 'right_node': 1.06, 'type': '>='}}}}, 'bound': [0.0, 220000000000.0]}}","For the entire duration from time 0 to 2.2e11, if the angle is greater than or equal to 0.06, then the torque should be greater than or equal to -1.06. This captures the behavior of avoiding large negative torques during high turn angles. ",https://escholarship.org/content/qt1sv1p5pr/qt1sv1p5pr.pdf?t=qt1g94
"G [0.0, 2.2e11]((angle  <=  -0.06) implies (torque  <=  1.25))","Always [0.0, 2.2e11]((angle <= -0.06) implies (torque <= 1.25))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'angle', 'right_node': 0.06, 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'torque', 'right_node': 1.25, 'type': '<='}}}}, 'bound': [0.0, 220000000000.0]}}","Similarly, when the turn angle is low (say, below -0.06), the magnitude of positive torque applied is below a threshold to avoid late sharp compensating torques. This property states that for the entire duration from time 0 to 2.2e11, if the angle is less than or equal to -0.06, then the torque should be less than or equal to 1.25. This captures the behavior of avoiding large positive torques during low turn angles. ",https://escholarship.org/content/qt1sv1p5pr/qt1sv1p5pr.pdf?t=qt1g94
"G [0.0, 2.2e11]((torque  <=  0.0) implies F [0.0, 1.2e8](angle  <=  0.01))","Always [0.0, 2.2e11]((torque <= 0.0) implies Finally [0.0, 1.2e8](angle <= 0.01))","{'always_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'torque', 'right_node': 0.0, 'type': '<='}}, 'right_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'angle', 'right_node': 0.01, 'type': '<='}}, 'bound': [0.0, 120000000.0]}}}}, 'bound': [0.0, 220000000000.0]}}","The torque also must not be so low that the turns are very slow and so, we require that application of negative torque should decrease the angle below a threshold within some fixed time. This property states that for the entire duration from time 0 to 2.2e11, if the torque is less than or equal to 0.0, then within the next 1.2e8 time units, the angle should be less than or equal to 0.01. This captures the behavior of ensuring that negative torque results in a decrease in the angle below a certain threshold within a fixed time. ",https://escholarship.org/content/qt1sv1p5pr/qt1sv1p5pr.pdf?t=qt1g94
"F [0,30]((vel > 100) implies G [0,20](vel > 100))","Finally [0,30]((vel > 100) implies Always [0,20](vel > 100))","{'eventually_bounded': {'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'vel', 'right_node': 100.0, 'type': '>'}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'vel', 'right_node': 100.0, 'type': '>'}}, 'bound': [0.0, 20.0]}}}}, 'bound': [0.0, 30.0]}}","At some time in the first 30 s, the vehicle speed (vel) will go over 100 km/h and stay above 100 km/h for 20 s",https://link.springer.com/content/pdf/10.1007/978-3-319-63387-9_11.pdf
