(var1) >= (var2),"{'predicate': {'left_node': 'var1', 'right_node': 'var2', 'type': '>='}}",var1 is greater than or equal to var2.
"(var3) until [1998,1999] (var4)","{'until': {'bound': (1998, 1999), 'left_node': 'var3', 'right_node': 'var4'}}","var3 holds until the interval [1998,1999] when var4 becomes true."
(var5) <= (0.83),"{'predicate': {'left_node': 'var5', 'right_node': 0.83, 'type': '<='}}",var5 is less than or equal to 0.83.
(var6) > (8.17),"{'predicate': {'left_node': 'var6', 'right_node': 8.17, 'type': '>'}}",var6 is greater than 8.17.
not (var7),{'not': {'child_node': 'var7'}},var7 is not true.
(var12) > (var13),"{'predicate': {'left_node': 'var12', 'right_node': 'var13', 'type': '>'}}",var12 is greater than var13.
(var18) == (var19),"{'predicate': {'left_node': 'var18', 'right_node': 'var19', 'type': '=='}}",var18 is equal to var19.
(var24) < (var25),"{'predicate': {'left_node': 'var24', 'right_node': 'var25', 'type': '<'}}",var24 is less than var25.
(var26) == (var27),"{'predicate': {'left_node': 'var26', 'right_node': 'var27', 'type': '=='}}",var26 is equal to var27.
(not (var28) ) or ((var29) >= (9.18)),"{'or': {'left_node': {'not': {'child_node': 'var28'}}, 'right_node': {'predicate': {'left_node': 'var29', 'right_node': 9.18, 'type': '>='}}}}",Either var28 is not true or var29 is greater than or equal to 9.18.
((var42) == (2.52)) and ((var43) <= (2.92)),"{'and': {'left_node': {'predicate': {'left_node': 'var42', 'right_node': 2.52, 'type': '=='}}, 'right_node': {'predicate': {'left_node': 'var43', 'right_node': 2.92, 'type': '<='}}}}",var42 is equal to 2.52 and var43 is less than or equal to 2.92.
((var53) >= (var54)) and ((var55) == (7.57)),"{'and': {'left_node': {'predicate': {'left_node': 'var53', 'right_node': 'var54', 'type': '>='}}, 'right_node': {'predicate': {'left_node': 'var55', 'right_node': 7.57, 'type': '=='}}}}",var53 is greater than or equal to var54 and var55 is equal to 7.57.
((var58) <= (var59)) or ((var60) == (var61)),"{'or': {'left_node': {'predicate': {'left_node': 'var58', 'right_node': 'var59', 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'var60', 'right_node': 'var61', 'type': '=='}}}}",Either var58 is less than or equal to var59 or var60 is equal to var61.
"F [191,1272] ((var8) until [47,881] (var9))","{'eventually': {'bound': (191, 1272), 'child_node': {'until': {'bound': (47, 881), 'left_node': 'var8', 'right_node': 'var9'}}}}","Eventually, within the interval [191,1272], the condition var8 holds until the interval [47,881] when var9 becomes true."
"G [59,209] (not (var10) )","{'globally': {'bound': (59, 209), 'child_node': {'not': {'child_node': 'var10'}}}}","Globally, within the interval [59,209], var10 is not true."
not (not (var11) ),{'not': {'child_node': {'not': {'child_node': 'var11'}}}},It is not the case that var11 is not true (which means var11 is true).
"((var20) >= (var21)) until [550,1170] ((var22) or (var23))","{'until': {'bound': (550, 1170), 'left_node': {'predicate': {'left_node': 'var20', 'right_node': 'var21', 'type': '>='}}, 'right_node': {'or': {'left_node': 'var22', 'right_node': 'var23'}}}}","var20 is greater than or equal to var21 and this holds until the interval [550,1170] when either var22 or var23 becomes true."
not ((var2) < (var3)),"{'not': {'child_node': {'predicate': {'left_node': 'var2', 'right_node': 'var3', 'type': '<'}}}}",It is not the case that var2 is less than var3.
((var4) and (var5)) and ((var6) == (var7)),"{'and': {'left_node': {'and': {'left_node': 'var4', 'right_node': 'var5'}}, 'right_node': {'predicate': {'left_node': 'var6', 'right_node': 'var7', 'type': '=='}}}}","Both var4 and var5 are true, and var6 is equal to var7."
"F [1587,1780] ((var8) > (2.31))","{'eventually': {'bound': (1587, 1780), 'child_node': {'predicate': {'left_node': 'var8', 'right_node': 2.31, 'type': '>'}}}}","Eventually, within the interval [1587,1780], var8 is greater than 2.31."
"F [1473,1648] ((var16) until [1140,1889] (var17))","{'eventually': {'bound': (1473, 1648), 'child_node': {'until': {'bound': (1140, 1889), 'left_node': 'var16', 'right_node': 'var17'}}}}","Eventually, within the interval [1473,1648], var16 holds until the interval [1140,1889] when var17 becomes true."
"F [1561,1638] (F [1688,1693] (var20))","{'eventually': {'bound': (1561, 1638), 'child_node': {'eventually': {'bound': (1688, 1693), 'child_node': 'var20'}}}}","Eventually, within the interval [1561,1638], there will be a time in the interval [1688,1693] when var20 is true."
"(F [549,1174] (var23)) or (not (var24) )","{'or': {'left_node': {'eventually': {'bound': (549, 1174), 'child_node': 'var23'}}, 'right_node': {'not': {'child_node': 'var24'}}}}","Either eventually, within the interval [549,1174], var23 is true or var24 is not true."
((var1) < (5.94)) or ((var2) > (var3)),"{'or': {'left_node': {'predicate': {'left_node': 'var1', 'right_node': 5.94, 'type': '<'}}, 'right_node': {'predicate': {'left_node': 'var2', 'right_node': 'var3', 'type': '>'}}}}",Either var1 is less than 5.94 or var2 is greater than var3.
"F [1003,1249] (F [1434,1731] (var6))","{'eventually': {'bound': (1003, 1249), 'child_node': {'eventually': {'bound': (1434, 1731), 'child_node': 'var6'}}}}","Eventually, within the interval [1003,1249], there will be a time in the interval [1434,1731] when var6 is true."
"F [980,1718] (F [1329,1557] (var7))","{'eventually': {'bound': (980, 1718), 'child_node': {'eventually': {'bound': (1329, 1557), 'child_node': 'var7'}}}}","Eventually, within the interval [980,1718], there will be a time in the interval [1329,1557] when var7 is true."
"F [1243,1694] ((var11) == (7.39))","{'eventually': {'bound': (1243, 1694), 'child_node': {'predicate': {'left_node': 'var11', 'right_node': 7.39, 'type': '=='}}}}","Eventually, within the interval [1243,1694], var11 is equal to 7.39."
"(not(var2)<(var3)) until [870,970] (var4)and(var5)","{'and': {'left_node': {'until': {'left_node': {'not': {'child_node': {'predicate': {'left_node': 'var2', 'right_node': 'var3', 'type': '<'}}}}, 'right_node': 'var4', 'bound': [870.0, 970.0]}}, 'right_node': 'var5'}}","It is not the case that var2 is less than var3 and this holds until the interval [870,970] when var4 becomes true. Additionally, var5 is also true."
"F[980,1080]((var6)==(var7)) until [1090,1190] (var8)>(2.31)","{'until': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'var6', 'right_node': 'var7', 'type': '=='}}, 'bound': [980.0, 1080.0]}}, 'right_node': {'predicate': {'left_node': 'var8', 'right_node': 2.31, 'type': '>'}}, 'bound': [1090.0, 1190.0]}}","Eventually, within the interval [980,1080], var6 is equal to var7. This condition holds until the interval [1090,1190] when var8 becomes greater than 2.31."
"G[1200,1300](not(var10)) until [1310,1410] (var11)and(var12)","{'and': {'left_node': {'until': {'left_node': {'always_bounded': {'child_node': {'not': {'child_node': 'var10'}}, 'bound': [1200.0, 1300.0]}}, 'right_node': 'var11', 'bound': [1310.0, 1410.0]}}, 'right_node': 'var12'}}","Always, within the interval [1200,1300], var10 is not true. This condition holds until the interval [1310,1410] when var11 becomes true. Additionally, var12 is also true."
(var1) < (var2),"{'predicate': {'left_node': 'var1', 'right_node': 'var2', 'type': '<'}}","""The value of var1 is less than the value of var2."""
(var3) < (3.46),"{'predicate': {'left_node': 'var3', 'right_node': 3.46, 'type': '<'}}","""The value of var3 is less than 3.46."""
(var4) > (7.09),"{'predicate': {'left_node': 'var4', 'right_node': 7.09, 'type': '>'}}","""The value of var4 is greater than 7.09."""
(var5) < (var6),"{'predicate': {'left_node': 'var5', 'right_node': 'var6', 'type': '<'}}","""The value of var5 is less than the value of var6."""
"(var7) until [43,1594] (var8)","{'until': {'bound': (43, 1594), 'left_node': 'var7', 'right_node': 'var8'}}","""From time 43 to 1594, var7 is true until var8 becomes true."""
(var9) > (3.59),"{'predicate': {'left_node': 'var9', 'right_node': 3.59, 'type': '>'}}","""The value of var9 is greater than 3.59."""
(var10) == (1.22),"{'predicate': {'left_node': 'var10', 'right_node': 1.22, 'type': '=='}}","""The value of var10 is equal to 1.22."""
"F [588,1324] ((var11) > (4.53))","{'eventually': {'bound': (588, 1324), 'child_node': {'predicate': {'left_node': 'var11', 'right_node': 4.53, 'type': '>'}}}}","""Between times 588 and 1324, var11 is eventually greater than 4.53."""
((var12) > (3.5)) implies ((var13) > (7.44)),"{'implies': {'left_node': {'predicate': {'left_node': 'var12', 'right_node': 3.5, 'type': '>'}}, 'right_node': {'predicate': {'left_node': 'var13', 'right_node': 7.44, 'type': '>'}}}}","""If var12 is greater than 3.5, then var13 is greater than 7.44."""
"(G [1975,1977] (var14)) implies (G [1071,1938] (var15))","{'implies': {'left_node': {'globally': {'bound': (1975, 1977), 'child_node': 'var14'}}, 'right_node': {'globally': {'bound': (1071, 1938), 'child_node': 'var15'}}}}","""If var14 is globally true between times 1975 and 1977, then var15 is globally true between times 1071 and 1938."""
(var16) >= (var17),"{'predicate': {'left_node': 'var16', 'right_node': 'var17', 'type': '>='}}","""The value of var16 is greater than or equal to the value of var17."""
(var18) == (8.63),"{'predicate': {'left_node': 'var18', 'right_node': 8.63, 'type': '=='}}","""The value of var18 is equal to 8.63."""
"(G [114,504] (var19)) implies (not (var20) )","{'implies': {'left_node': {'globally': {'bound': (114, 504), 'child_node': 'var19'}}, 'right_node': {'not': {'child_node': 'var20'}}}}","""If var19 is globally true between times 114 and 504, then var20 is not true."""
"F [108,254] ((var21) or (var22))","{'eventually': {'bound': (108, 254), 'child_node': {'or': {'left_node': 'var21', 'right_node': 'var22'}}}}","""At some point between times 108 and 254, either var21 or var22 is true."""
(var23) < (var24),"{'predicate': {'left_node': 'var23', 'right_node': 'var24', 'type': '<'}}","""The value of var23 is less than the value of var24."""
"not (G [256,1587] (G [1652,1866] (var25)))","{'not': {'child_node': {'globally': {'bound': (256, 1587), 'child_node': {'globally': {'bound': (1652, 1866), 'child_node': 'var25'}}}}}}","""It is not globally true between times 256 and 1587 that it is globally true between times 1652 and 1866 that var25 is true."""
not ((var26) > (var27)),"{'not': {'child_node': {'predicate': {'left_node': 'var26', 'right_node': 'var27', 'type': '>'}}}}","""It is not the case that var26 is greater than var27."""
"G [719,1421] (((var28) or (var29)) or (not (var30) ))","{'globally': {'bound': (719, 1421), 'child_node': {'or': {'left_node': {'or': {'left_node': 'var28', 'right_node': 'var29'}}, 'right_node': {'not': {'child_node': 'var30'}}}}}}","""Between times 719 and 1421, either var28 or var29 is true, or var30 is not true."""
"G [774,1539] ((var31) >= (7.42))","{'globally': {'bound': (774, 1539), 'child_node': {'predicate': {'left_node': 'var31', 'right_node': 7.42, 'type': '>='}}}}","""Between times 774 and 1539, var31 is greater than or equal to 7.42."""
"F [1268,1961] (((var32) >= (0.01)) implies ((var33) <= (2.1)))","{'eventually': {'bound': (1268, 1961), 'child_node': {'implies': {'left_node': {'predicate': {'left_node': 'var32', 'right_node': 0.01, 'type': '>='}}, 'right_node': {'predicate': {'left_node': 'var33', 'right_node': 2.1, 'type': '<='}}}}}}","""At some point between times 1268 and 1961, if var32 is greater than or equal to 0.01, then var33 is less than or equal to 2.1."""
"G [1632,1798] ((var34) <= (var35))","{'globally': {'bound': (1632, 1798), 'child_node': {'predicate': {'left_node': 'var34', 'right_node': 'var35', 'type': '<='}}}}","""Between times 1632 and 1798, var34 is less than or equal to var35."""
((var36) > (3.89)) and ((var37) > (var38)),"{'and': {'left_node': {'predicate': {'left_node': 'var36', 'right_node': 3.89, 'type': '>'}}, 'right_node': {'predicate': {'left_node': 'var37', 'right_node': 'var38', 'type': '>'}}}}","""If var36 is greater than 3.89 and var37 is greater than var38, then both conditions are met."""
"(((var39) > (9.14)) until [954,1715] ((var40) >= (var41))) and (((var42) and (var43)) until [1144,1496] ((var44) >= (var45)))","{'and': {'left_node': {'until': {'bound': (954, 1715), 'left_node': {'predicate': {'left_node': 'var39', 'right_node': 9.14, 'type': '>'}}, 'right_node': {'predicate': {'left_node': 'var40', 'right_node': 'var41', 'type': '>='}}}}, 'right_node': {'until': {'bound': (1144, 1496), 'left_node': {'and': {'left_node': 'var42', 'right_node': 'var43'}}, 'right_node': {'predicate': {'left_node': 'var44', 'right_node': 'var45', 'type': '>='}}}}}}","""Between times 954 and 1715, either var39 is greater than 9.14 until var40 is greater than or equal to var41, or var42 and var43 are both true until var44 is greater than or equal to var45 between times 1144 and 1496."""
((var46) <= (var47)) implies ((var48) >= (var49)),"{'implies': {'left_node': {'predicate': {'left_node': 'var46', 'right_node': 'var47', 'type': '<='}}, 'right_node': {'predicate': {'left_node': 'var48', 'right_node': 'var49', 'type': '>='}}}}","""If var46 is less than or equal to var47, then var48 is greater than or equal to var49."""
"G [1372,1917] ((not (var50) ) and ((var51) implies (var52)))","{'globally': {'bound': (1372, 1917), 'child_node': {'and': {'left_node': {'not': {'child_node': 'var50'}}, 'right_node': {'implies': {'left_node': 'var51', 'right_node': 'var52'}}}}}}","""Between times 1372 and 1917, either var50 is not true or if var51 is true, then var52 is also true."""
"(((var53) < (var54)) implies ((var55) until [1411,1737] (var56))) until [105,1799] ((var57) > (var58))","{'until': {'bound': (105, 1799), 'left_node': {'implies': {'left_node': {'predicate': {'left_node': 'var53', 'right_node': 'var54', 'type': '<'}}, 'right_node': {'until': {'bound': (1411, 1737), 'left_node': 'var55', 'right_node': 'var56'}}}}, 'right_node': {'predicate': {'left_node': 'var57', 'right_node': 'var58', 'type': '>'}}}}","""Between times 105 and 1799, it is true that if var53 is less than var54, then var55 remains true until var56 between times 1411 and 1737, and var57 is greater than var58."""
"G [765,1460] ((var59) < (0.08))","{'globally': {'bound': (765, 1460), 'child_node': {'predicate': {'left_node': 'var59', 'right_node': 0.08, 'type': '<'}}}}","""Between times 765 and 1460, var59 is less than 0.08."""
